app_id,app_url,trino_app_name,trino_description,conversation_summary,bo_link,msid,payment_provider,overall_verdict,overall_color,confidence,top_category,top_subcategory,matched_keywords
69e1c737178028b6172f74ac,https://maison-royale-bet.base44.app,Maison Royale,,,,0d6f5475-7b5a-4833-bad8-d68b2a29ff07,,Likely Supportable,green,40,,,
69da7630855ef5a28238a7e5,https://island-street-soul.base44.app,Cajmoya Island Streetwear,,,,36c17959-da7b-47e0-b711-b77577f1feaf,,Likely Supportable,green,40,,,
69e1c1fbb834cfec8e5f9309,https://thoughtful-scan-dash-go.base44.app,ScanDash,,,,fb7f1308-0f81-445d-b66e-8f492cde3bbf,,Likely Supportable,green,40,,,
69e1a82b38061aeb74eeb6f0,https://techno-trading-74eeb6f0.base44.app,TechnoTrading,,,,838764f0-8f11-4891-a872-f65d217f0584,,Likely Supportable,green,40,,,
69ddc31e74133767c523d82b,https://fluffy-vital-pulse-fit.base44.app,VitalPulse,,,,74a425a1-7d84-4418-9df1-a4da1fa03352,,Likely Supportable,green,40,,,
69d5b5e8f0c6fd102ac5245e,https://district-exotics.base44.app,District Exotics,,"The project has undergone structural updates to improve reservation flow and brand identity. A new dedicated `Reserve.jsx` page was created, and the primary ""Reserve Now"" buttons in the navigation and mobile menu were updated to route users directly to this page instead of the fleet listing. Additio",,9a19779d-97eb-45a6-b0f2-f1f561ecf4c6,,Likely Supportable,green,40,,,
69deecfd1887569add981753,https://laundro-pick-flow.base44.app,LaundroPick,,,,0937bd88-51d0-413a-8cab-6d0f8b5d7548,,Likely Supportable,green,40,,,
69e1b8c9519da83ec0683d7d,https://aquatic-pure-peptide-path.base44.app,Peptide Tracker,,,,b8b439b3-d493-464d-8bdd-c1e6806b6598,,Likely Supportable,green,40,,,
69e19965de3c76f68fa36b66,https://spry-zen-space-flow.base44.app,ZenClean,,,,528fbbb6-84ed-4b69-92e1-54661c302b2d,,Likely Supportable,green,40,,,
69b37ee11931f80741cf19cf,https://poseidon-shop.base44.app,Poseidon,,,,259b0f53-1dad-4f51-b446-769752dfb550,,Likely Supportable,green,40,,,
69e1a35aa7c510cc0f9782f2,https://spiritual-daily-grit-path.base44.app,Daily Discipline,,,,ee1fe5d5-4ad5-48d6-b5df-4faae036e693,,Likely Supportable,green,40,,,
69e19b394aff61dbeee346db,https://daily-kinetic-pulse.base44.app,Kinetic Daily,,,,285089fd-bb2b-47be-ba57-a9e2402cb7bf,,Likely Supportable,green,40,,,
69e194bfae3cb6942b982f1f,https://crown-craft-shop.base44.app,CrownCraft Merch,,,,0dda5a9c-00fa-4dca-b0c2-5a158e7616e2,,Likely Supportable,green,40,,,
69e17867b226f7c593438075,https://hustle-sync-grid.base44.app,HustleSync,,,,5dd2d87b-6a2a-498d-b525-854157d8b959,,Likely Supportable,green,40,,,
69e1917a997f65bd9adba149,https://missive-reply-flow.base44.app,Missive,,,,4d8f0ca0-c1e2-4e79-87df-61978fec7781,,Likely Supportable,green,40,,,
69e19210f3ebfcbb62c26239,https://cooperative-snap-clip-flow.base44.app,ClipFlow,,,,e1f311de-7d85-4c0e-b9fc-509c10d43bb5,,Likely Supportable,green,40,,,
69e006be42702cca3d2a1354,https://fresh-fork-find.base44.app,ForkUP,,,,0475d5ba-10d0-4a94-9823-dd1085fecc69,,Likely Supportable,green,40,,,
69e18f51786b790948ce86b5,https://kinetic-hearth-global.base44.app,Kinetic Hearth,,,,032e7952-6428-47f7-b1ae-4210f30422ba,,Likely Supportable,green,40,,,
69bc1e36e01cd05f3ce08554,https://bird-watch-safe.base44.app,Feathered Threats,,"The user is developing ""Feathered Threats,"" a location-based application for tracking and avoiding mockingbird attacks. The project utilizes a Base44 backend with an `Attack` entity and a Leaflet-powered map interface. Recent development has focused on integrating an AI-powered `RoutePlanner` that c",,2a85d4e2-1218-4c26-bc95-ae70f1366d57,,Likely Supportable,green,40,,,
